pass,frame,zoom,frame_ms,setup,sphere,sphere_politics,flat,foliage,flat_politics,sun,markers
0,117,22.2498,7.175,0.0027,0,0,0.0563,0.0023,6.5381,0,0.0904
0,118,20.8028,6.5967,0.004,0,0,0.0717,0.0032,6.0215,0,0.0889
0,119,19.42,6.8215,0.0027,0,0,0.062,0.0038,6.1791,0.0001,0.091
0,120,18.103,6.6362,0.0027,0,0.0001,0.0785,0.0046,6.0489,0,0.0861
0,121,16.8523,6.7014,0.0044,0,0.0001,0.1168,0.0053,6.0647,0.0001,0.0951
0,122,15.6681,6.9036,0.003,0,0,0.0902,0.0046,6.2019,0.0001,0.0981
0,123,14.5499,9.6872,0.0039,0,0,0.1317,0.0059,8.8209,0,0.1277
0,124,13.4968,10.4394,0.0036,0,0,0.1468,0.0075,9.4649,0.0001,0.1268
0,125,12.5074,12.8238,0.006,3.14,4.5236,0.1647,0.0067,4.4329,0.0001,0.1425
0,126,11.58,11.1803,0.0035,2.5463,3.7293,0.1183,0.0049,4.0902,0,0.1725
0,127,10.7127,11.1711,0.0033,2.5232,3.7877,0.1395,0.0063,4.1427,0.0014,0.1604
0,128,9.90332,11.2561,0.0041,2.5671,3.7799,0.1692,0.0099,4.1551,0.0008,0.1561
0,129,9.14942,7.0277,0.0028,2.5482,3.8642,0,0,0.0001,0.0007,0.1847
0,130,8.44851,7.311,0.0025,2.5369,4.1162,0,0,0,0.0012,0.2311
0,131,7.79802,7.0857,0.0022,2.4436,3.969,0,0,0.0001,0.0015,0.2249
0,132,7.19528,7.5086,0.0014,2.5712,4.1671,0,0,0.0001,0.0016,0.2438
0,133,6.63765,7.6,0.0014,2.9611,3.9799,0,0,0,0.0009,0.2468
0,134,6.12247,8.0117,0.0012,3.078,4.2543,0,0,0.0001,0.0019,0.2589
0,135,5.64713,8.3086,0.0017,3.2373,4.2845,0,0,0.0001,0.0008,0.3297
0,136,5.20909,9.0704,0.0019,3.5581,4.4076,0,0,0.0002,0.0022,0.3784
0,137,4.80587,9.7843,0.0013,4.3155,4.3803,0,0,0,0.0009,0.4843
0,138,4.43507,11.4499,0.0013,4.6027,5.0806,0,0,0.0002,0.0023,0.7574
0,139,4.0944,14.0812,0.0022,7.2217,4.9875,0,0,0.0001,0.0089,0.9373
0,140,3.78168,7.8052,0.0019,3.8918,1.8632,0,0,0.0001,0.0014,1.2432
0,141,3.49483,6.8874,0.002,3.1555,1.341,0,0,0,0.0015,1.4943
0,142,3.23189,6.7128,0.0028,2.6262,1.6005,0,0,0.0001,0.0009,1.6724
0,143,2.99101,7.0313,0.0022,2.6294,1.5677,0,0,0,0.0008,2.0206
0,144,2.77047,7.7371,0.0015,3.0069,1.644,0,0,0.0002,0.0009,2.2236
0,145,2.56862,7.9346,0.0029,2.4792,1.7975,0,0,0.0004,0.0011,2.8806
0,146,2.38398,12.3118,0.002,2.622,1.6952,0,0,0.0001,0.0009,2.6934
0,147,2.21512,13.3816,0.0027,4.292,2.6213,0,0,0.0002,0.0019,4.3234
0,148,2.06075,9.1834,0.003,2.5595,1.7037,0,0,0,0.0008,3.2212
0,149,1.91967,13.6005,0.0024,4.2555,2.7906,0,0,0.0002,0.0017,4.9732
0,150,1.79076,8.5613,0.0023,4.2223,2.8366,0,0,0.0002,0.0017,0.0026
0,151,1.67299,8.4425,0.0023,4.1946,2.8625,0,0,0.0002,0.0016,0.0021
0,152,1.56543,8.4165,0.0021,4.1956,2.8644,0,0,0.0002,0.0017,0.0022
0,153,1.46721,7.9615,0.0024,4.1856,2.8504,0,0,0.0001,0.0014,0.0022
0,154,1.37755,8.3982,0.0023,4.1727,2.8867,0,0,0.0001,0.0019,0.0024
0,155,1.2957,8.2028,0.0023,4.3726,2.9023,0,0,0.0001,0.0016,0.0022
0,156,1.22103,8.3212,0.0022,4.3748,2.8972,0,0,0.0002,0.0016,0.0021
0,157,1.15292,8.1999,0.0023,4.4028,2.8767,0,0,0.0001,0.0015,0.0021
0,158,1.09082,8.3761,0.0021,4.3914,2.8968,0,0,0.0002,0.0017,0.0024
0,159,1.03424,8.6473,0.0025,4.3843,2.8826,0,0,0.0001,0.0016,0.0022
0,160,0.982714,8.6847,0.0023,4.3787,2.9007,0,0,0.0001,0.0015,0.0022
0,161,0.935842,8.2334,0.0036,4.3954,2.872,0,0,0.0002,0.0015,0.0021
0,162,0.893248,8.3043,0.0023,4.4208,2.8661,0,0,0.0001,0.0018,0.0022
0,163,0.854596,8.2095,0.0021,4.3773,2.8748,0,0,0.0001,0.0015,0.0022
0,164,0.819581,8.3055,0.0023,4.4225,2.8886,0,0,0.0001,0.0016,0.0023
0,165,0.787932,8.2603,0.0024,4.4056,2.8761,0,0,0.0001,0.0015,0.0021
0,166,0.759401,8.8002,0.0024,4.4175,2.8689,0,0,0.0001,0.0018,0.0023
0,167,0.73377,8.2042,0.0033,4.3767,2.8884,0,0,0.0001,0.0015,0.0022
0,168,0.710842,8.3378,0.0023,4.4157,2.8762,0,0,0.0001,0.0015,0.0022
0,169,0.690442,8.1816,0.002,4.37,2.8885,0,0,0.0001,0.0016,0.002
0,170,0.672417,8.3078,0.0021,4.396,2.8734,0,0,0.0002,0.0015,0.0022
0,171,0.65663,7.9534,0.0025,4.1755,2.8636,0,0,0.0001,0.0015,0.0022
0,172,0.642964,8.1,0.0022,4.201,2.8885,0,0,0.0001,0.0019,0.0022
0,173,0.631317,7.9665,0.0022,4.1649,2.8626,0,0,0.0002,0.0015,0.0022
0,174,0.621603,8.0483,0.0041,4.1858,2.8712,0,0,0.0002,0.0016,0.0023
0,175,0.613751,7.9783,0.0024,4.1832,2.8412,0,0,0.0001,0.0015,0.0021
0,176,0.607702,7.9862,0.0023,4.1945,2.8582,0,0,0.0002,0.0015,0.0022
0,177,0.603413,5.696,0.0023,2.7294,2.0559,0,0,0.0002,0.0014,0.0022
0,178,0.600852,8.0649,0.0023,4.1663,2.8648,0,0,0.0002,0.002,0.0022
0,179,0.6,7.9475,0.0022,4.1614,2.8579,0,0,0.0001,0.0015,0.0021
1,0,0.6,8.154,0.0021,4.1694,2.8734,0,0,0.0001,0.002,0.0025
1,1,0.600852,8.3904,0.0041,4.3203,2.9295,0,0,0.0004,0.0021,0.0033
1,2,0.603413,8.3014,0.0025,4.2949,2.8911,0,0,0.0001,0.002,0.003
1,3,0.607702,8.1437,0.0023,4.2748,2.8653,0,0,0.0001,0.0015,0.0024
1,4,0.613751,8.1135,0.0021,4.2294,2.8741,0,0,0.0001,0.002,0.0023
1,5,0.621603,8.0592,0.0023,4.2114,2.8568,0,0,0.0001,0.0015,0.0022
1,6,0.631317,8.0263,0.0021,4.2101,2.8599,0,0,0.0001,0.0017,0.0023
1,7,0.642964,7.9817,0.0022,4.1788,2.8594,0,0,0.0001,0.0017,0.0021
1,8,0.65663,8.0565,0.0028,4.1724,2.8465,0,0,0.0001,0.0015,0.0021
1,9,0.672417,8.1892,0.0023,4.3794,2.8703,0,0,0.0001,0.0016,0.0027
1,10,0.690442,8.3171,0.002,4.3883,2.8591,0,0,0.0001,0.0016,0.0023
1,11,0.710842,8.2257,0.002,4.4069,2.8674,0,0,0.0002,0.0018,0.0027
1,12,0.73377,8.3002,0.0022,4.3867,2.8635,0,0,0.0001,0.0016,0.0021
1,13,0.759401,7.3158,0.0019,4.3792,2.2455,0,0,0.0002,0.0015,0.0022
1,14,0.787932,7.7289,0.002,4.2177,2.5837,0,0,0.0001,0.0015,0.0023
1,15,0.819581,8.6388,0.0025,4.5146,2.9615,0,0,0.0002,0.0019,0.0028
1,16,0.854596,8.6916,0.0029,4.556,2.9091,0,0,0.0002,0.0016,0.0023
1,17,0.893248,8.3951,0.0025,4.4587,2.907,0,0,0.0002,0.0017,0.0025
1,18,0.935842,7.5954,0.0033,3.787,2.8429,0,0,0.0001,0.0017,0.0022
1,19,0.982714,6.5354,0.0024,3.089,2.346,0,0,0.0002,0.0019,0.0025
1,20,1.03424,8.3968,0.0026,4.4447,2.9173,0,0,0.0001,0.0019,0.0025
1,21,1.09082,7.8806,0.0017,4.2958,2.567,0,0,0.0002,0.0019,0.0029
1,22,1.15292,8.3977,0.0031,4.4611,2.9197,0,0,0.0002,0.0018,0.0029
1,23,1.22103,7.3972,0.0029,3.715,2.612,0,0,0.0003,0.0026,0.0035
1,24,1.2957,8.377,0.0037,4.5068,2.8797,0,0,0.0001,0.0016,0.0025
1,25,1.37755,8.4191,0.0022,4.2785,2.9406,0,0,0.0002,0.0024,0.0035
1,26,1.46721,8.2192,0.0034,4.3114,2.8678,0,0,0.0002,0.002,0.0032
1,27,1.56543,8.3285,0.0027,4.2981,2.8704,0,0,0.0002,0.0023,0.0034
1,28,1.67299,7.1868,0.0027,4.2547,2.189,0,0,0.0002,0.0016,0.0029
1,29,1.79076,6.1345,0.0026,2.5514,2.4375,0,0,0.0001,0.0026,0.0037
1,30,1.91967,16.3958,0.0029,4.2703,2.7121,0,0,0.0001,0.0018,4.5324
1,31,2.06075,12.8198,0.0031,4.3494,2.6787,0,0,0.0002,0.0021,4.1033
1,32,2.21512,10.2616,0.0018,2.7124,1.8723,0,0,0.0002,0.0023,3.5847
1,33,2.38398,10.4468,0.0018,2.5462,2.4351,0,0,0.0002,0.002,4.0107
1,34,2.56862,11.5927,0.0031,4.2257,2.4696,0,0,0.0003,0.0019,3.2251
1,35,2.77047,10.9521,0.002,3.9309,2.4632,0,0,0.0002,0.0025,3.1984
1,36,2.99101,11.068,0.0029,4.4381,2.405,0,0,0.0002,0.0021,2.8956
1,37,3.23189,9.6028,0.0031,3.7163,2.4079,0,0,0.0002,0.0022,2.4409
1,38,3.49483,9.3519,0.0026,4.3616,2.005,0,0,0.0002,0.0028,1.9075
1,39,3.78168,8.793,0.0027,4.4076,2.0829,0,0,0.0001,0.0018,1.392
