pass,frame,zoom,frame_ms,setup,sphere,sphere_politics,flat,foliage,flat_politics,sun,markers
0,114,26.9524,5.4076,0.0026,0,0,0.0453,0.0027,4.0591,0,0.0531
0,115,25.3279,5.5128,0.0032,0,0,0.053,0.0019,4.3698,0.0001,0.0575
0,116,23.7592,5.199,0.0038,0,0,0.0566,0.0039,3.9552,0.0001,0.0528
0,117,22.2498,5.0228,0.0027,0,0.0001,0.0551,0.002,3.969,0,0.0887
0,118,20.8028,5.2192,0.0024,0,0,0.0558,0.0021,3.9898,0,0.0863
0,119,19.42,7.2473,0.0025,0,0.0001,0.0651,0.0035,6.018,0.0001,0.087
0,120,18.103,7.4469,0.0026,0,0,0.0641,0.0023,5.9531,0.0001,0.0899
0,121,16.8523,7.154,0.0029,0,0,0.0722,0.0042,5.9409,0,0.0922
0,122,15.6681,5.6571,0.0033,0,0.0001,0.0733,0.0028,5.0874,0.0002,0.0951
0,123,14.5499,5.4717,0.0029,0,0,0.0946,0.0048,4.238,0,0.0844
0,124,13.4968,5.1976,0.0026,0,0,0.0937,0.0033,3.9844,0,0.0862
0,125,12.5074,5.2321,0.0026,0,0,0.1003,0.0047,3.9838,0.0001,0.0841
0,126,11.58,5.2944,0.0028,0,0.0001,0.1095,0.0054,3.9669,0.0001,0.0937
0,127,10.7127,4.958,0.0025,0,0.0001,0.1128,0.0057,3.9521,0.0001,0.0923
0,128,9.90332,7.4682,0.0027,0,0.0001,0.1329,0.0075,6.0617,0,0.1187
0,129,9.14942,7.1159,0.0027,0,0,0.1425,0.0103,5.958,0.0002,0.1334
0,130,8.44851,7.6357,0.0028,0,0.0001,0.1633,0.0105,6.0354,0,0.1491
0,131,7.79802,11.4569,0.0035,2.6733,3.9022,0.188,0.0091,4.0809,0.0001,0.1677
0,132,7.19528,11.3943,0.0033,2.5539,3.9785,0.2668,0.0132,3.972,0.0001,0.1722
0,133,6.63765,12.189,0.0031,3.1828,4.024,0.2503,0.0216,4.0282,0.0017,0.203
0,134,6.12247,12.7247,0.0033,3.0325,4.0294,0.291,0.0288,3.9962,0.0013,0.23
0,135,5.64713,13.069,0.0075,3.7789,4.0978,0.3247,0.0417,4.1175,0.0021,0.2519
0,136,5.20909,8.5914,0.0039,3.6211,4.2636,0,0,0.0001,0.0007,0.239
0,137,4.80587,9.6953,0.0026,4.5237,4.4436,0,0,0,0.0012,0.297
0,138,4.43507,9.9989,0.0023,4.1132,4.4646,0,0,0.0001,0.0007,0.3143
0,139,4.0944,10.4722,0.0011,4.4329,4.5427,0,0,0.0001,0.0009,0.4524
0,140,3.78168,10.7292,0.0015,4.9068,4.8368,0,0,0.0001,0.0021,0.514
0,141,3.49483,11.5525,0.0018,5.1661,5.2247,0,0,0.0001,0.0009,0.6892
0,142,3.23189,11.8616,0.0015,5.1426,5.3659,0,0,0,0.0009,0.8567
0,143,2.99101,13.2474,0.0013,5.2217,5.4843,0,0,0,0.001,1.1862
0,144,2.77047,15.8909,0.0018,6.8838,5.8652,0,0,0.0001,0.0024,1.4987
0,145,2.56862,21.2531,0.0019,7.1338,6.346,0,0,0.0001,0.0021,1.922
0,146,2.38398,6.9578,0.0025,2.5401,1.2936,0,0,0.0002,0.0028,2.2009
0,147,2.21512,7.0335,0.002,2.5311,1.3068,0,0,0.0001,0.0012,2.3785
0,148,2.06075,7.7401,0.0016,2.4948,1.284,0,0,0.0001,0.0011,2.5877
0,149,1.91967,8.1106,0.0011,2.4643,1.7002,0,0,0.0001,0.001,2.739
0,150,1.79076,8.6981,0.0012,2.4387,1.7851,0,0,0,0.0007,3.0399
0,151,1.67299,9.4458,0.0014,2.4758,1.8429,0,0,0.0001,0.0011,3.329
0,152,1.56543,8.4141,0.0017,2.348,1.8472,0,0,0,0.0009,3.2927
0,153,1.46721,8.9425,0.0014,2.3628,1.8461,0,0,0.0002,0.001,3.3212
0,154,1.37755,8.5992,0.0016,2.3538,1.8685,0,0,0,0.001,3.2954
0,155,1.2957,9.3111,0.0017,2.4724,2.109,0,0,0.0001,0.0011,3.2874
0,156,1.22103,8.6665,0.0017,2.3366,1.8763,0,0,0,0.0009,3.3832
0,157,1.15292,8.9667,0.0017,2.411,1.8894,0,0,0.0002,0.0009,3.3214
0,158,1.09082,4.9191,0.0012,2.3182,1.8691,0,0,0.0001,0.0007,0.001
0,159,1.03424,5.389,0.0019,2.4103,1.8903,0,0,0.0002,0.0011,0.0013
0,160,0.982714,4.8692,0.0014,2.4399,1.8396,0,0,0,0.0008,0.0011
0,161,0.935842,5.344,0.0013,2.4064,1.8863,0,0,0.0001,0.0005,0.0011
0,162,0.893248,5.5798,0.0013,2.4067,1.9039,0,0,0.0001,0.0013,0.0014
0,163,0.854596,5.324,0.0017,2.313,1.8938,0,0,0,0.0006,0.001
0,164,0.819581,5.3669,0.0011,2.3115,1.8502,0,0,0,0.0006,0.001
0,165,0.787932,5.6662,0.0013,2.4504,1.8817,0,0,0.0001,0.0007,0.0011
0,166,0.759401,5.3968,0.0016,2.4596,1.8851,0,0,0.0001,0.0023,0.0014
0,167,0.73377,5.6447,0.0013,2.5135,1.9267,0,0,0,0.0012,0.0014
0,168,0.710842,5.364,0.0015,2.4741,1.9063,0,0,0,0.0008,0.0011
0,169,0.690442,5.254,0.0012,2.4705,1.861,0,0,0.0001,0.0006,0.001
0,170,0.672417,5.3901,0.0011,2.4607,1.8755,0,0,0,0.0007,0.001
0,171,0.65663,5.5494,0.0012,2.4556,1.8827,0,0,0,0.0009,0.0017
0,172,0.642964,5.5918,0.0016,2.4626,1.8784,0,0,0,0.0007,0.0011
0,173,0.631317,5.5192,0.0011,2.4577,1.8635,0,0,0,0.0006,0.001
0,174,0.621603,8.0592,0.0011,2.4564,1.8735,0,0,0,0.0009,0.001
0,175,0.613751,5.691,0.0013,2.4074,1.9257,0,0,0.0001,0.0006,0.001
0,176,0.607702,5.0376,0.0014,2.4297,1.9058,0,0,0,0.0008,0.0011
0,177,0.603413,5.4101,0.0013,2.4971,1.8986,0,0,0,0.0007,0.001
0,178,0.600852,5.5869,0.0011,2.4681,1.8878,0,0,0.0001,0.0007,0.0012
0,179,0.6,5.5707,0.0012,2.4487,1.8711,0,0,0.0001,0.0008,0.001
1,0,0.6,5.6626,0.0019,2.6751,1.8743,0,0,0,0.0012,0.0013
1,1,0.600852,5.2947,0.0029,2.5656,1.9626,0,0,0.0001,0.0014,0.0017
1,2,0.603413,5.878,0.0019,2.5735,1.9439,0,0,0.0001,0.0011,0.0021
1,3,0.607702,5.3184,0.002,2.4847,1.8775,0,0,0.0001,0.0006,0.0011
1,4,0.613751,5.584,0.0012,2.4657,1.8616,0,0,0,0.0006,0.0013
1,5,0.621603,5.8393,0.0019,2.6621,1.8933,0,0,0.0001,0.0018,0.0017
1,6,0.631317,5.4014,0.0021,2.4884,1.9158,0,0,0.0001,0.001,0.0016
1,7,0.642964,5.1643,0.0013,2.4415,1.8439,0,0,0,0.0007,0.0011
1,8,0.65663,6.5489,0.0019,2.9005,2.2594,0,0,0,0.0012,0.0019
1,9,0.672417,5.8667,0.0017,2.4901,1.9336,0,0,0.0002,0.0007,0.0012
1,10,0.690442,9.0529,0.0021,2.7061,2.3249,0,0,0.0001,0.0016,0.0022
1,11,0.710842,5.9178,0.0018,2.6126,1.9805,0,0,0.0002,0.0011,0.0014
1,12,0.73377,5.7064,0.0016,2.5072,1.9181,0,0,0,0.0007,0.0011
1,13,0.759401,5.2395,0.0013,2.6488,1.919,0,0,0.0002,0.0011,0.0012
1,14,0.787932,5.615,0.0014,2.52,1.8791,0,0,0.0001,0.0006,0.001
1,15,0.819581,5.9192,0.0012,2.327,2.3225,0,0,0.0001,0.0009,0.0015
