pass,frame,zoom,game_minutes,residents,demographic_version,influence_revision,influence_changed,frame_ms,setup,sphere,sphere_politics,flat,foliage,flat_politics,sun,markers
3,131,7.79802,1440,21275,19028,1,0,9.2535,0.0038,2.5971,1.8542,0.1875,0.0086,3.9692,0.0001,0.1726
3,132,7.19528,1440,21275,19170,1,0,10.6332,0.0035,2.6447,1.9716,0.2272,0.0117,3.9605,0.0001,0.6653
3,133,6.63765,1440,21275,19312,1,0,13.084,0.0039,3.0291,1.8794,0.2404,0.0171,6.1338,0.0031,0.2945
3,134,6.12247,1440,21275,19454,1,0,10.8015,0.0066,3.7034,1.9153,0.2866,0.0273,4.1045,0.0015,0.2393
3,135,5.64713,1440,21275,19596,1,0,10.6904,0.0033,3.4706,2.0235,0.3278,0.0417,4.0862,0.0013,0.2579
3,136,5.20909,1440,21275,19738,1,0,6.8456,0.0037,3.7527,2.1106,0,0,0,0.0011,0.2512
3,137,4.80587,1440,21275,19880,1,0,7.6342,0.0041,4.5242,2.3038,0,0,0.0001,0.0013,0.3185
3,138,4.43507,1440,21275,20022,1,0,9.2036,0.0015,4.1029,4.2788,0,0,0.0001,0.0013,0.33
3,139,4.0944,1440,21275,20164,1,0,10.2364,0.0013,4.5803,4.3725,0,0,0.0001,0.002,0.4747
3,140,3.78168,1440,21275,20306,1,0,10.8745,0.0017,5.1094,4.7061,0,0,0.0004,0.0021,0.5157
3,141,3.49483,1440,21275,20448,1,0,11.3648,0.0023,5.1293,4.9479,0,0,0.0001,0.0031,0.7099
3,142,3.23189,1440,21275,20590,1,0,11.6487,0.002,5.1254,5.0794,0,0,0.0003,0.002,0.8661
3,143,2.99101,1440,21275,20732,1,0,13.1204,0.0016,5.5343,5.2469,0,0,0.0004,0.0021,1.2311
3,144,2.77047,1440,21275,20874,1,0,15.4706,0.0019,7.0382,5.6354,0,0,0.0002,0.0019,1.5739
3,145,2.56862,1440,21275,21016,1,0,16.7102,0.0018,7.2938,6.1593,0,0,0.0004,0.0036,1.926
3,146,2.38398,1440,21275,21158,1,0,7.3558,0.0019,2.5562,1.2887,0,0,0.0001,0.0008,2.3301
3,147,2.21512,1440,21275,21300,1,0,7.5504,0.0032,2.5834,1.3067,0,0,0.0001,0.0018,2.5337
3,148,2.06075,1440,21275,21442,1,0,7.7836,0.002,2.5191,1.2837,0,0,0,0.001,2.5985
3,149,1.91967,1440,21275,21584,1,0,8.2851,0.0028,2.5058,1.7067,0,0,0.0001,0.001,2.8301
3,150,1.79076,1440,21275,21726,1,0,8.8869,0.0016,2.5795,1.7974,0,0,0.0001,0.0013,3.2026
3,151,1.67299,1440,21275,21868,1,0,9.1711,0.0023,2.5275,1.8682,0,0,0.0003,0.001,3.3777
3,152,1.56543,1440,21275,22010,1,0,8.9634,0.0021,2.415,1.8844,0,0,0.0001,0.0013,3.3816
3,153,1.46721,1440,21275,22152,1,0,9.0107,0.0015,2.4391,1.9093,0,0,0.0002,0.0014,3.3641
3,154,1.37755,1440,21275,22294,1,0,8.9679,0.0016,2.4193,1.9125,0,0,0.0003,0.0009,3.3934
3,155,1.2957,1440,21275,22436,1,0,8.959,0.0018,2.4507,1.8949,0,0,0.0001,0.0014,3.3649
